# function runs per sample: 100

0   	348876
10  	343449
20  	361881
30  	400793
40  	399872
50  	399564
60  	354304
70  	343347
80  	352051
90  	398950
100 	376832
110 	344064
120 	345292
130 	343552
140 	343859
150 	343961
160 	349593
170 	345088
180 	371200
190 	399769
200 	399769
210 	400281
220 	399564
230 	399360
240 	400076
250 	399155
260 	399769
270 	399667
280 	399974
290 	398950
300 	398950
310 	399360
320 	399257
330 	398438
340 	399462
350 	398233
360 	398438
370 	375296
380 	342323
390 	342630
400 	344576
410 	344576
420 	344064
430 	343552
440 	343347
450 	343040
460 	343552
470 	343552
480 	391680
490 	400076
500 	399564
510 	400793
520 	399667
530 	399872
540 	399667
550 	399564
560 	390860
570 	343552
580 	342937
590 	343961
600 	343449
610 	343859
620 	392601
630 	398848
640 	402329
650 	399155
660 	398438
670 	399052
680 	399052
690 	398950
700 	387891
710 	343552
720 	343347
730 	374476
740 	399155
750 	398131
760 	398336
770 	400281
780 	403251
790 	398643
800 	364646
810 	343347
820 	343449
830 	343449
840 	343654
850 	367923
860 	417075
870 	351129
880 	343552
890 	347340
900 	343142
910 	343552
920 	377139
930 	399360
940 	399462
950 	399667
960 	399462
970 	399360
980 	400076
990 	398848
1000	398950
1010	346931
1020	342630
1030	343244
1040	343654
1050	343449
1060	344166
1070	344678
1080	344678
1090	343449
1100	343654
1110	343654
1120	342835
1130	343244
1140	343756
1150	343244
1160	343859
1170	343654
1180	343244
1190	343961
1200	343961
1210	343654
1220	346624
1230	345804
1240	344678
1250	343244
1260	344166
1270	370176
1280	398848
1290	400281
1300	400998
1310	400179
1320	385228
1330	343142
1340	343552
1350	343756
1360	343244
1370	343654
1380	400179
1390	400384
1400	400179
1410	370995
1420	343654
1430	343552
1440	343347
1450	343552
1460	343756
1470	342835
1480	343347
1490	344780
1500	343859
1510	343756
1520	344064
1530	343449
1540	359014
1550	400281
1560	402944
1570	400486
1580	413798
1590	409702
1600	398745
1610	398028
1620	397721
1630	398131
1640	398745
1650	399052
1660	374169
1670	343552
1680	344268
1690	388198
1700	397414
1710	343244
1720	342118
1730	342425
1740	341708
1750	341811
1760	342323
1770	342323
1780	341913
1790	343244
1800	343449
1810	343449
1820	344064
1830	344371
1840	342937
1850	343244
1860	353792
1870	400179
1880	374272
1890	343961
1900	343654
1910	343961
1920	344371
1930	353484
1940	400691
1950	399872
1960	400384
1970	399462
1980	399052
1990	400793
2000	400076
